time [s];swlx [m];swly [m];swlz [m];pos0x [m];pos0y [m];pos0z [m];pos2x [m];pos2y [m];pos2z [m]
1.220017;0.2;0;0.419597;0.2;0;-0.05;0.2;0;2.1
1.230014;0.2;0;0.409848;0.2;0;-0.05;0.2;0;2.1
1.240030;0.2;0;0.405381;0.2;0;-0.05;0.2;0;2.1
1.250003;0.2;0;0.400538;0.2;0;-0.05;0.2;0;2.1
1.260009;0.2;0;0.397509;0.2;0;-0.05;0.2;0;2.1
1.270005;0.2;0;0.39216;0.2;0;-0.05;0.2;0;2.1
1.280025;0.2;0;0.386491;0.2;0;-0.05;0.2;0;2.1
1.290012;0.2;0;0.380634;0.2;0;-0.05;0.2;0;2.1
1.300007;0.2;0;0.375454;0.2;0;-0.05;0.2;0;2.1
1.310004;0.2;0;0.373826;0.2;0;-0.05;0.2;0;2.1
1.320015;0.2;0;0.368975;0.2;0;-0.05;0.2;0;2.1
1.330007;0.2;0;0.360037;0.2;0;-0.05;0.2;0;2.1
1.340017;0.2;0;0.355733;0.2;0;-0.05;0.2;0;2.1
1.350005;0.2;0;0.354726;0.2;0;-0.05;0.2;0;2.1
1.360005;0.2;0;0.35203;0.2;0;-0.05;0.2;0;2.1
1.370006;0.2;0;0.348983;0.2;0;-0.05;0.2;0;2.1
1.380010;0.2;0;0.345933;0.2;0;-0.05;0.2;0;2.1
1.390017;0.2;0;0.340698;0.2;0;-0.05;0.2;0;2.1
1.400028;0.2;0;0.334284;0.2;0;-0.05;0.2;0;2.1
1.410010;0.2;0;0.329535;0.2;0;-0.05;0.2;0;2.1
1.420022;0.2;0;0.32469;0.2;0;-0.05;0.2;0;2.1
1.430004;0.2;0;0.321043;0.2;0;-0.05;0.2;0;2.1
1.440031;0.2;0;0.317512;0.2;0;-0.05;0.2;0;2.1
1.450003;0.2;0;0.313282;0.2;0;-0.05;0.2;0;2.1
1.460007;0.2;0;0.310335;0.2;0;-0.05;0.2;0;2.1
1.470029;0.2;0;0.307745;0.2;0;-0.05;0.2;0;2.1
1.480028;0.2;0;0.304822;0.2;0;-0.05;0.2;0;2.1
1.490001;0.2;0;0.30308;0.2;0;-0.05;0.2;0;2.1
1.500022;0.2;0;0.300613;0.2;0;-0.05;0.2;0;2.1
1.510008;0.2;0;0.297473;0.2;0;-0.05;0.2;0;2.1
1.520001;0.2;0;0.295055;0.2;0;-0.05;0.2;0;2.1
1.530003;0.2;0;0.293331;0.2;0;-0.05;0.2;0;2.1
1.540025;0.2;0;0.290096;0.2;0;-0.05;0.2;0;2.1
1.550004;0.2;0;0.286093;0.2;0;-0.05;0.2;0;2.1
1.560013;0.2;0;0.282001;0.2;0;-0.05;0.2;0;2.1
1.570030;0.2;0;0.2785;0.2;0;-0.05;0.2;0;2.1
1.580027;0.2;0;0.275654;0.2;0;-0.05;0.2;0;2.1
1.590030;0.2;0;0.273147;0.2;0;-0.05;0.2;0;2.1
1.600012;0.2;0;0.270161;0.2;0;-0.05;0.2;0;2.1
1.610010;0.2;0;0.266942;0.2;0;-0.05;0.2;0;2.1
1.620006;0.2;0;0.26295;0.2;0;-0.05;0.2;0;2.1
1.630018;0.2;0;0.25883;0.2;0;-0.05;0.2;0;2.1
1.640006;0.2;0;0.255702;0.2;0;-0.05;0.2;0;2.1
1.650028;0.2;0;0.25339;0.2;0;-0.05;0.2;0;2.1
1.660002;0.2;0;0.251013;0.2;0;-0.05;0.2;0;2.1
1.670018;0.2;0;0.248498;0.2;0;-0.05;0.2;0;2.1
1.680004;0.2;0;0.246682;0.2;0;-0.05;0.2;0;2.1
1.690022;0.2;0;0.245639;0.2;0;-0.05;0.2;0;2.1
1.700007;0.2;0;0.244896;0.2;0;-0.05;0.2;0;2.1
1.710025;0.2;0;0.24394;0.2;0;-0.05;0.2;0;2.1
1.720010;0.2;0;0.242375;0.2;0;-0.05;0.2;0;2.1
1.730006;0.2;0;0.239997;0.2;0;-0.05;0.2;0;2.1
1.740017;0.2;0;0.237814;0.2;0;-0.05;0.2;0;2.1
1.750014;0.2;0;0.235301;0.2;0;-0.05;0.2;0;2.1
1.760016;0.2;0;0.233094;0.2;0;-0.05;0.2;0;2.1
1.770000;0.2;0;0.23069;0.2;0;-0.05;0.2;0;2.1
1.780005;0.2;0;0.228486;0.2;0;-0.05;0.2;0;2.1
1.790030;0.2;0;0.226655;0.2;0;-0.05;0.2;0;2.1
1.800008;0.2;0;0.224963;0.2;0;-0.05;0.2;0;2.1
1.810016;0.2;0;0.223695;0.2;0;-0.05;0.2;0;2.1
1.820020;0.2;0;0.222141;0.2;0;-0.05;0.2;0;2.1
1.830000;0.2;0;0.219837;0.2;0;-0.05;0.2;0;2.1
1.840002;0.2;0;0.21756;0.2;0;-0.05;0.2;0;2.1
